word,cefr
der,A1
und,A1
die,A1
in,A1
von,A1
den,A1
des,A1
mit,A1
die,A1
im,A1
zu,A1
wurde,A1
das,A1
sich,A1
ist,A1
dem,A1
auf,A1
als,A1
er,A1
eine,A1
für,A1
ein,A1
war,A1
an,A1
auch,A1
aus,A1
bis,A1
sie,A1
der,A1
nicht,A1
nach,A1
werden,A1
einer,A1
am,A1
wird,A1
bei,A1
sind,A1
es,A1
in,A1
einem,A1
das,A1
zum,A1
dass,A1
durch,A1
im,A1
einen,A1
wurden,A1
über,A1
um,A1
zur,A1
oder,A1
er,A1
nur,A1
jahr,A1
noch,A1
hat,A1
vor,A1
seiner,A1
sie,A1
aber,A1
seine,A1
hatte,A1
wie,A1
zwei,A1
jahre,A1
unter,A1
dieser,A1
nach,A1
vom,A1
waren,A1
es,A1
jedoch,A1
sein,A1
jahren,A1
wieder,A1
am,A1
eines,A1
mehr,A1
zwischen,A1
kann,A1
so,A1
zeit,A1
ab,A1
sowie,A1
diese,A1
drei,A1
ihre,A1
ersten,A1
man,A1
etwa,A1
seinen,A1
haben,A1
als,A1
ende,A1
seinem,A1
ihm,A1
konnte,A1
diese,A1
seit,A1
gegen,A1
mit,A1
können,A1
stadt,A1
ihrer,A1
bei,A1
ihr,A1
später,A1
von,A1
gibt,A1
ein,A1
beiden,A1
ihn,A1
eine,A1
bereits,A1
erste,A1
anderen,A1
diesem,A1
heute,A1
dann,A1
keine,A1
sehr,A1
auch,A1
da,A1
gab,A1
kam,A1
teil,A1
vier,A1
alle,A1
jahrhundert,A1
seit,A1
zurück,A1
dort,A1
während,A1
auf,A1
ihren,A1
beim,A1
selbst,A1
weitere,A1
damit,A1
immer,A1
für,A1
kirche,A1
oktober,A1
mai,A1
januar,A1
namen,A1
liegt,A1
was,A1
dabei,A1
april,A1
juni,A1
sei,A1
worden,A1
dezember,A1
ohne,A1
september,A1
neue,A1
märz,A1
dessen,A1
november,A1
platz,A1
bekannt,A1
geschichte,A1
deutschland,A1
ebenfalls,A1
hier,A1
august,A1
deren,A1
neuen,A1
juli,A1
erhielt,A1
jahrhunderts,A1
menschen,A1
zunächst,A1
statt,A1
allem,A1
befindet,A1
wo,A1
m,A1
denen,A1
gemeinde,A1
schon,A1
sondern,A1
wenn,A1
sohn,A1
einige,A1
erst,A1
ort,A1
soll,A1
allerdings,A1
so,A1
nun,A1
begann,A1
de,A1
seine,A1
fünf,A1
da,A1
ihrem,A1
ins,A1
saison,A1
februar,A1
hatten,A1
diesen,A1
familie,A1
band,A1
dieses,A1
