word,cefr
של,A1
את,A1
על,A1
הוא,A1
עם,A1
לא,A1
גם,A1
היה,A1
היא,A1
לאחר,A1
זה,A1
או,A1
כי,A1
בין,A1
ידי,A1
אך,A1
יותר,A1
כל,A1
ב,A1
עד,A1
זו,A1
הייתה,A1
הם,A1
בשנת,A1
כדי,A1
היו,A1
אשר,A1
ביותר,A1
שלו,A1
אותו,A1
אחד,A1
בו,A1
כאשר,A1
כך,A1
מספר,A1
לו,A1
זאת,A1
הראשון,A1
כמו,A1
יש,A1
בית,A1
שם,A1
אף,A1
רק,A1
רבים,A1
במהלך,A1
שני,A1
אם,A1
אל,A1
באופן,A1
במקום,A1
אותה,A1
שנים,A1
בה,A1
ישראל,A1
העיר,A1
ל,A1
מכן,A1
הספר,A1
כן,A1
שהוא,A1
בכל,A1
שנה,A1
פי,A1
בשם,A1
אחת,A1
הברית,A1
ניתן,A1
לפני,A1
שלה,A1
להיות,A1
שלא,A1
חלק,A1
הראשונה,A1
אלו,A1
מ,A1
שונים,A1
ולא,A1
לה,A1
ללא,A1
החל,A1
כלל,A1
השני,A1
והוא,A1
אחרים,A1
אלה,A1
עבור,A1
בבית,A1
מנת,A1
אולם,A1
מה,A1
העולם,A1
מאוד,A1
זכה,A1
אחר,A1
רבות,A1
ה,A1
דבר,A1
בני,A1
מן,A1
הן,A1
זמן,A1
בן,A1
במשך,A1
בנוסף,A1
השיר,A1
בהם,A1
באותה,A1
אותם,A1
הסרט,A1
עצמו,A1
אדם,A1
תוך,A1
בעיקר,A1
נגד,A1
עוד,A1
בשל,A1
שתי,A1
בעקבות,A1
באמצעות,A1
בקרב,A1
אלא,A1
הקבוצה,A1
אין,A1
יחד,A1
בלבד,A1
השנייה,A1
המדינה,A1
שהיה,A1
שלהם,A1
וכן,A1
אחרי,A1
כמה,A1
מטר,A1
להם,A1
בדרך,A1
מתוך,A1
רב,A1
מיליון,A1
ר,A1
דרך,A1
לפי,A1
שונות,A1
יכול,A1
החברה,A1
בעלי,A1
בעל,A1
נוספים,A1
בישראל,A1
השנים,A1
אינו,A1
לכל,A1
תחת,A1
כיום,A1
נוסף,A1
ואת,A1
לכך,A1
לעיתים,A1
שבו,A1
בעולם,A1
שהיא,A1
למרות,A1
בעיר,A1
אבל,A1
המלחמה,A1
גדול,A1
כבר,A1
האלבום,A1
העונה,A1
רוב,A1
לאורך,A1
ו,A1
באזור,A1
ספר,A1
יצא,A1
כתב,A1
ראש,A1
יום,A1
ועל,A1
אנשים,A1
חיים,A1
כולל,A1
ואף,A1
היום,A1
מאז,A1
חברת,A1
זכתה,A1
ולכן,A1
עליו,A1
בזמן,A1
דקות,A1
לאור,A1
במסגרת,A1
בתוך,A1
יהודים,A1
האדם,A1
שלושה,A1
מערכת,A1
מהם,A1
הגיע,A1
ילדים,A1
מחדש,A1
הסדרה,A1
הרב,A1
מעל,A1
לראשונה,A1
שנות,A1
לבין,A1
חדש,A1
בתפקיד,A1
בסרט,A1
הפך,A1
בעוד,A1
שהם,A1
שוב,A1
עקב,A1
כ,A1
שימוש,A1
המשפט,A1
הלהקה,A1
בכך,A1
ארצות,A1
בידי,A1
היהודים,A1
הממשלה,A1
נשים,A1
והיא,A1
בעת,A1
בהמשך,A1
ממנו,A1
אז,A1
בשנים,A1
מול,A1
כמעט,A1
פעולה,A1
החלה,A1
בסוף,A1
