word,cefr
元,A1
a,A1
és,A1
az,A1
a,A1
is,A1
hogy,A1
az,A1
egy,A1
nem,A1
volt,A1
meg,A1
de,A1
vagy,A1
csak,A1
el,A1
első,A1
már,A1
két,A1
ki,A1
után,A1
mint,A1
van,A1
még,A1
több,A1
szerint,A1
pedig,A1
azonban,A1
így,A1
között,A1
majd,A1
nagy,A1
lett,A1
ez,A1
miatt,A1
azt,A1
ez,A1
aki,A1
egyik,A1
be,A1
új,A1
fel,A1
amely,A1
alatt,A1
magyar,A1
minden,A1
sem,A1
ami,A1
ahol,A1
során,A1
kell,A1
később,A1
olyan,A1
lehet,A1
valamint,A1
mellett,A1
más,A1
illetve,A1
voltak,A1
úgy,A1
három,A1
ha,A1
című,A1
egy,A1
ő,A1
át,A1
ezt,A1
második,A1
ezért,A1
akkor,A1
mert,A1
számára,A1
került,A1
található,A1
amikor,A1
által,A1
való,A1
előtt,A1
le,A1
saját,A1
itt,A1
mely,A1
s,A1
mivel,A1
számos,A1
őket,A1
nagyobb,A1
akik,A1
sok,A1
közül,A1
város,A1
amit,A1
volna,A1
áll,A1
másik,A1
kapott,A1
hanem,A1
alapján,A1
része,A1
különböző,A1
együtt,A1
míg,A1
például,A1
arra,A1
jelent,A1
nagyon,A1
teljes,A1
részt,A1
ezt,A1
fő,A1
néhány,A1
német,A1
annak,A1
következő,A1
év,A1
legnagyobb,A1
kellett,A1
négy,A1
végül,A1
készült,A1
vált,A1
magát,A1
kis,A1
adott,A1
ellen,A1
ennek,A1
utolsó,A1
gyakran,A1
egész,A1
követően,A1
született,A1
mind,A1
hosszú,A1
néven,A1
maradt,A1
neki,A1
általában,A1
egyes,A1
ezek,A1
állt,A1
felé,A1
kisebb,A1
ma,A1
amelyek,A1
évben,A1
szintén,A1
csapat,A1
először,A1
években,A1
ekkor,A1
végén,A1
ezzel,A1
teljesen,A1
jó,A1
ismert,A1
mindig,A1
jelentős,A1
vannak,A1
ezek,A1
egyetlen,A1
ha,A1
ellenére,A1
viszont,A1
maga,A1
őt,A1
kívül,A1
egyre,A1
évek,A1
nevű,A1
helyen,A1
vett,A1
vissza,A1
eredeti,A1
század,A1
elő,A1
nélkül,A1
tagja,A1
család,A1
ember,A1
jól,A1
szerzett,A1
ilyen,A1
éves,A1
ismét,A1
neve,A1
ennek,A1
mai,A1
lesz,A1
álló,A1
nincs,A1
sikerült,A1
helyi,A1
méter,A1
többi,A1
harmadik,A1
óta,A1
újra,A1
fontos,A1
magas,A1
régi,A1
mivel,A1
lévő,A1
keresztül,A1
inkább,A1
össze,A1
további,A1
amerikai,A1
igen,A1
amelyet,A1
melyek,A1
tovább,A1
ott,A1
látható,A1
később,A1
nem,A1
korábban,A1
melyet,A1
település,A1
ország,A1
rá,A1
szemben,A1
magyar,A1
korábbi,A1
ám,A1
ekkor,A1
francia,A1
írt,A1
bár,A1
létre,A1
sokkal,A1
templom,A1
újabb,A1
melynek,A1
mintegy,A1
király,A1
nemzetközi,A1
közé,A1
2,A1
film,A1
belül,A1
szent,A1
vele,A1
kapta,A1
akár,A1
politikai,A1
ezen,A1
falu,A1
ebben,A1
körül,A1
részét,A1
elején,A1
angol,A1
esetén,A1
legjobb,A1
épült,A1
öt,A1
közötti,A1
ebben,A1
római,A1
fia,A1
háború,A1
itt,A1
alá,A1
dolgozott,A1
legtöbb,A1
száma,A1
képes,A1
végzett,A1
rövid,A1
3,A1
túl,A1
hasonló,A1
így,A1
több,A1
lehetett,A1
10,A1
segítségével,A1
közben,A1
elsősorban,A1
szinte,A1
ezután,A1
módon,A1
szerepelt,A1
szó,A1
the,A1
azok,A1
millió,A1
belső,A1
helyet,A1
ezen,A1
világ,A1
1,A1
összes,A1
vette,A1
azzal,A1
évvel,A1
nevét,A1
összesen,A1
esetben,A1
emberek,A1
hozzá,A1
katonai,A1
férfi,A1
játszott,A1
idő,A1
időben,A1
amikor,A1
bár,A1
első,A1
sorozat,A1
részben,A1
megjelent,A1
megfelelő,A1
dal,A1
miután,A1
of,A1
területén,A1
azért,A1
fiatal,A1
kezdett,A1
tehát,A1
tartott,A1
épület,A1
amelynek,A1
tett,A1
benne,A1
két,A1
fehér,A1
hatalmas,A1
nyugati,A1
ért,A1
indult,A1
azaz,A1
idején,A1
e,A1
m,A1
széles,A1
élő,A1
tartozik,A1
ugyanis,A1
főleg,A1
ezzel,A1
szerepet,A1
írta,A1
4,A1
szerepel,A1
út,A1
élt,A1
brit,A1
déli,A1
hiszen,A1
hat,A1
jobb,A1
alkalommal,A1
történt,A1
gazdasági,A1
egyéb,A1
érdekében,A1
egészen,A1
északi,A1
jutott,A1
album,A1
bizonyos,A1
erre,A1
katolikus,A1
közös,A1
egyesült,A1
közel,A1
nap,A1
alakult,A1
rendszer,A1
vezető,A1
nő,A1
tette,A1
5,A1
sor,A1
abban,A1
de,A1
köszönhetően,A1
emberi,A1
szükséges,A1
magyarországon,A1
él,A1
században,A1
ezer,A1
későbbi,A1
fekete,A1
név,A1
tudott,A1
valószínűleg,A1
különösen,A1
miután,A1
külön,A1
ezután,A1
játék,A1
mikor,A1
apja,A1
tudományos,A1
erős,A1
együttes,A1
keleti,A1
jános,A1
helyett,A1
török,A1
halála,A1
e,A1
akit,A1
évig,A1
terület,A1
minden,A1
hivatalos,A1
budapest,A1
legyen,A1
nagy,A1
lehetővé,A1
hasonlóan,A1
európai,A1
készített,A1
20,A1
nevet,A1
kerül,A1
általános,A1
külső,A1
azon,A1
női,A1
eredetileg,A1
hét,A1
részén,A1
használják,A1
zenei,A1
mindkét,A1
egykori,A1
mégis,A1
kezdte,A1
utóbbi,A1
királyi,A1
iskola,A1
többször,A1
csupán,A1
azonban,A1
japán,A1
ne,A1
nemzeti,A1
000,A1
jellemző,A1
arról,A1
teszi,A1
addig,A1
tudta,A1
felesége,A1
100,A1
éppen,A1
ő,A1
érte,A1
oldalán,A1
területe,A1
12,A1
alakú,A1
orosz,A1
modern,A1
adta,A1
vezetett,A1
azonos,A1
használt,A1
istván,A1
tagjai,A1
felső,A1
életét,A1
működött,A1
hazai,A1
folyamatosan,A1
fél,A1
ad,A1
lakosság,A1
nyert,A1
lépett,A1
tudja,A1
következtében,A1
működik,A1
esetében,A1
pár,A1
szám,A1
olasz,A1
hagyományos,A1
rendkívül,A1
kezdve,A1
korában,A1
rendelkezik,A1
elég,A1
továbbra,A1
elleni,A1
szabad,A1
közelében,A1
kormány,A1
6,A1
címet,A1
zenekar,A1
célja,A1
kevés,A1
többek,A1
megfelelően,A1
származik,A1
felett,A1
víz,A1
akinek,A1
község,A1
társadalmi,A1
15,A1
járt,A1
legalább,A1
állandó,A1
gyorsan,A1
lány,A1
hadsereg,A1
önálló,A1
ezeket,A1
ideig,A1
mindössze,A1
tud,A1
végül,A1
kerültek,A1
ahogy,A1
vár,A1
mondta,A1
sőt,A1
élet,A1
negyedik,A1
számos,A1
játékos,A1
címmel,A1
30,A1
ezért,A1
jött,A1
szeptember,A1
nyelv,A1
jelenleg,A1
köztük,A1
december,A1
körülbelül,A1
tartozó,A1
november,A1
területen,A1
cég,A1
egyaránt,A1
nemzeti,A1
közepén,A1
meghalt,A1
szóló,A1
utca,A1
augusztus,A1
egyszerű,A1
többnyire,A1
folyó,A1
hatására,A1
egyben,A1
képest,A1
ii,A1
kulturális,A1
központi,A1
jelenti,A1
csapatok,A1
hamarosan,A1
rajta,A1
töltött,A1
csoport,A1
kapcsolatban,A1
nevezték,A1
8,A1
városi,A1
józsef,A1
fog,A1
állam,A1
hajó,A1
tartják,A1
cm,A1
ún,A1
alsó,A1
városban,A1
fenn,A1
révén,A1
ők,A1
bajnoki,A1
darab,A1
nyerte,A1
sikeres,A1
egymás,A1
válik,A1
john,A1
történő,A1
legfontosabb,A1
főként,A1
jobban,A1
napig,A1
róla,A1
mária,A1
ment,A1
azonnal,A1
the,A1
fekszik,A1
korai,A1
történet,A1
most,A1
ebből,A1
időszakban,A1
vagyis,A1
külföldi,A1
aztán,A1
szükség,A1
magyarország,A1
használták,A1
továbbá,A1
egyes,A1
tartalmaz,A1
tartották,A1
mm,A1
amelyben,A1
faj,A1
kínai,A1
számú,A1
nehéz,A1
országban,A1
lehetséges,A1
különféle,A1
kereskedelmi,A1
ugyan,A1
azokat,A1
híres,A1
néhány,A1
tér,A1
állami,A1
tíz,A1
még,A1
miközben,A1
egyszer,A1
közt,A1
mi,A1
mentén,A1
előző,A1
súlyos,A1
tartozott,A1
leginkább,A1
vallási,A1
világháború,A1
vezetője,A1
már,A1
km,A1
pl,A1
viszonylag,A1
történelmi,A1
gazdag,A1
rossz,A1
50,A1
szervezet,A1
körben,A1
egymással,A1
jelentése,A1
tanult,A1
new,A1
szovjet,A1
utal,A1
görög,A1
nyílt,A1
nyolc,A1
követő,A1
nemcsak,A1
hozott,A1
nevezik,A1
vezette,A1
visszatért,A1
erősen,A1
alig,A1
szerezte,A1
érkezett,A1
úgynevezett,A1
közeli,A1
román,A1
ebből,A1
sokat,A1
nyelvű,A1
esett,A1
ferenc,A1
óra,A1
méteres,A1
alkalmas,A1
tőle,A1
16,A1
ahhoz,A1
belőle,A1
kezdődött,A1
református,A1
néha,A1
színű,A1
gyors,A1
természetes,A1
milyen,A1
alacsony,A1
különleges,A1
könyv,A1
7,A1
jelentősen,A1
országos,A1
könnyen,A1
valójában,A1
jóval,A1
története,A1
lenne,A1
foglalkozott,A1
tartó,A1
egymást,A1
helyén,A1
kevésbé,A1
herceg,A1
véget,A1
ideje,A1
jelen,A1
oldalon,A1
fekvő,A1
jelentette,A1
adták,A1
hamar,A1
aminek,A1
amíg,A1
spanyol,A1
mögött,A1
munka,A1
komoly,A1
marad,A1
típusú,A1
emellett,A1
végezte,A1
talán,A1
kettős,A1
uralkodó,A1
sziget,A1
lászló,A1
három,A1
soha,A1
tartotta,A1
barlang,A1
közvetlenül,A1
körében,A1
létezik,A1
40,A1
majdnem,A1
élete,A1
végre,A1
gólt,A1
irodalmi,A1
mutatja,A1
rész,A1
elnöke,A1
talált,A1
dalt,A1
aktív,A1
melyben,A1
származó,A1
adja,A1
elé,A1
azóta,A1
szezon,A1
történik,A1
ismeretlen,A1
lakott,A1
veszi,A1
várost,A1
zsidó,A1
károly,A1
bal,A1
nyilatkozott,A1
halt,A1
sokszor,A1
előtti,A1
múlva,A1
oka,A1
előre,A1
magasabb,A1
kap,A1
munkát,A1
mértékben,A1
isten,A1
személy,A1
gép,A1
szerepe,A1
állnak,A1
igazi,A1
mű,A1
tart,A1
jelenleg,A1
ugyanakkor,A1
rendelkező,A1
döntött,A1
egyházi,A1
anyja,A1
egyedül,A1
kapcsolatos,A1
vették,A1
