word,cefr
ª,A1
元,A1
の,A1
に,A1
を,A1
は,A1
た,A1
が,A1
で,A1
て,A1
と,A1
し,A1
れ,A1
さ,A1
いる,A1
も,A1
する,A1
ある,A1
年,A1
こと,A1
から,A1
な,A1
い,A1
ない,A1
として,A1
月,A1
なっ,A1
や,A1
れる,A1
ため,A1
1,A1
この,A1
2,A1
的,A1
日,A1
その,A1
など,A1
人,A1
3,A1
よう,A1
者,A1
第,A1
なる,A1
という,A1
あっ,A1
られ,A1
あり,A1
また,A1
もの,A1
へ,A1
後,A1
だ,A1
4,A1
まで,A1
指定,A1
中,A1
か,A1
両方,A1
おり,A1
ください,A1
引数,A1
archivedate,A1
archiveurl,A1
これ,A1
5,A1
時,A1
ず,A1
日本,A1
によって,A1
より,A1
なかっ,A1
一,A1
により,A1
なく,A1
10,A1
6,A1
だっ,A1
せ,A1
う,A1
本,A1
場合,A1
なり,A1
できる,A1
化,A1
ば,A1
それ,A1
上,A1
性,A1
しかし,A1
7,A1
による,A1
られる,A1
8,A1
名,A1
部,A1
家,A1
について,A1
その後,A1
放送,A1
現在,A1
他,A1
使用,A1
多く,A1
駅,A1
間,A1
たち,A1
号,A1
軍,A1
彼,A1
9,A1
回,A1
大,A1
でき,A1
前,A1
二,A1
数,A1
会,A1
sfn,A1
可能,A1
存在,A1
12,A1
作品,A1
市,A1
において,A1
のみ,A1
世界,A1
行わ,A1
版,A1
内,A1
受け,A1
登場,A1
町,A1
時代,A1
番組,A1
11,A1
事,A1
p,A1
呼ば,A1
際,A1
き,A1
なお,A1
だけ,A1
活動,A1
話,A1
力,A1
自分,A1
たり,A1
目,A1
万,A1
同,A1
時間,A1
つ,A1
機,A1
当時,A1
作,A1
位,A1
見,A1
形,A1
戦,A1
研究,A1
県,A1
等,A1
三,A1
関係,A1
行っ,A1
線,A1
曲,A1
せる,A1
分,A1
一部,A1
多い,A1
型,A1
村,A1
必要,A1
同じ,A1
自身,A1
さらに,A1
約,A1
ながら,A1
なら,A1
側,A1
地,A1
車,A1
20,A1
攻撃,A1
国,A1
持つ,A1
度,A1
考え,A1
以上,A1
地域,A1
変更,A1
いう,A1
点,A1
初,A1
出演,A1
映画,A1
利用,A1
および,A1
以降,A1
開発,A1
に対して,A1
頁,A1
ill,A1
新,A1
学校,A1
用,A1
チーム,A1
所,A1
試合,A1
開始,A1
30,A1
下,A1
でも,A1
体,A1
行う,A1
主,A1
問題,A1
結果,A1
一般,A1
ら,A1
中心,A1
以下,A1
ほど,A1
ゲーム,A1
における,A1
長,A1
ので,A1
次,A1
系,A1
参加,A1
しまう,A1
各,A1
ただし,A1
お,A1
記録,A1
発表,A1
一方,A1
面,A1
彼女,A1
そして,A1
手,A1
同様,A1
15,A1
法,A1
全,A1
ん,A1
社,A1
当初,A1
状態,A1
歳,A1
以外,A1
東京,A1
これら,A1
シリーズ,A1
とき,A1
アメリカ,A1
大学,A1
発売,A1
部分,A1
式,A1
a,A1
女性,A1
ほか,A1
人間,A1
用い,A1
うち,A1
場,A1
最終,A1
物,A1
収録,A1
局,A1
最初,A1
同年,A1
事業,A1
情報,A1
担当,A1
何,A1
両,A1
頃,A1
十,A1
州,A1
影響,A1
知ら,A1
ものの,A1
円,A1
最後,A1
達,A1
にて,A1
会社,A1
事件,A1
王,A1
それぞれ,A1
大会,A1
持っ,A1
得,A1
設置,A1
と共に,A1
巻,A1
